Id,Name,InternalName,Description,UiTextureKitId,RewardQuestId,VisibilityConditionId
"1","陣營戰役","Alliance War Campaign","身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。","261","0","86702"
"2","陣營戰役","Horde War Campaign","為了部落！","262","0","86703"
"3","Test Campaign","[Internal] Test Campaign","","261","52262","5703"
"111","瑞文崔斯主宰","9.0 Shadowlands - Narrative Arc - Revendreth (ZTO)","戴納瑟斯王或許知道該如何結束這場靈魄乾旱。進入他的瑞文崔斯界域探尋真相。","5279","0","76298"
"113","汎希爾族戰役","9.0 Shadowlands - Covenant Campaign - Revendreth (ZTO)","尋求瑞文崔斯的救贖是一條漫漫長路，罪殞城的黑暗王子已經準備好踏上旅途了。他需要你的幫助，才能從主宰和他的忠誠者手中把瑞文崔斯奪回來。","5285","0","76299"
"114","昇靈堡","9.0 Shadowlands - Narrative Arc - Bastion - GJC","你被派去調查你在淵喉裡面遇到的神秘淵喉琪瑞安。只有負責監督昇靈堡的御靈者才知道他們真正的本性。","5280","0","77903"
"115","戰爭的藝術","9.0 Shadowlands - Covenant Campaign - Maldraxxus  (MDE)","野心勃勃的死靈領主面臨自尋毀滅的威脅。你的出現會讓不同勢力再次攜手合作，組成足以挑戰命運本身的大軍。","5287","0","78568"
"117","暗夜妖精戰役","9.0 Shadowlands - Covenant Campaign - Ardenweald  (KRB)","亞登曠野的林地正在凋零。隨著巨大的星界之樹一棵棵倒下，凜冬女王也變得愈來愈絕望。女王和她的暗夜之廷需要你來協助恢復森林的昔日和諧。","5302","0","78569"
"118","統御者之刃","9.0 Shadowlands - Narrative Arc - Maldraxxus - SJC","瑪卓薩斯的軍隊襲擊了昇靈堡。你奉命前往這個飽受戰爭蹂躪的國度，找出原因。","5282","0","88931"
"119","琪瑞安族戰役","9.0 Shadowlands - Covenant Campaign - Bastion - GJC","昇靈堡的高貴琪瑞安族面臨著危險的局勢，棄誓者部隊步步逼近，打算摧毀他們的界域。他們需要你的協助，才能奪回昇靈堡並拯救暗影之境。","5283","0","78609"
"124","亞登曠野的林地","9.0 Shadowlands - Narrative Arc - Ardenweald (ZTO/KRB)","你帶著要給凜冬女王的重要消息。前往亞登曠野的空中林地找她。","5301","0","84196"
"125","暗影之境戰役","9.0 Shadowlands Campaign - TSH/ZTO/SMD","這是通用戰役任務追蹤區塊，適用於介於暗影之境兩場戰役之間的玩家。","5362","0","89137"
"126","朦朧的黑暗","9.0 Shadowlands - Covenant Campaign - Oribos - Campaign Bridge to Covenant Choice","在戴納瑟斯的陰謀曝光後，你必須決定如何應對。","5284","0","85641"
"130","暗影之境","9.0 Shadowlands - Alt Mode Flagging (Not a Real Campaign) - GJC","","0","0","5703"
"131","命運絲線","9.0 Shadowlands - Alt Mode / Time Skip Mode - GJC","","0","0","87258"
"133","誓盟導覽","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Bastion - GJC","","0","0","5703"
"134","誓盟導覽","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Maldraxxus - GJC","","0","0","5703"
"135","誓盟導覽","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - Yes Play - GJC","","0","0","5703"
"136","誓盟導覽","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - No Play - GJC","","0","0","5703"
"137","誓盟導覽","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Revendreth - GJC","","0","0","5703"
