Id,Name,Description,Cooldown,Duration,Flags,SpellSchoolMask,IconFileDataId
"1","DNT JasonTest Envirospell","","2","1","0","0","0"
"2","DNT JasonTest Ability Spell","DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3","4","2","1","0","461809"
"3","DNT Owen Test Double Effect","","3","0","0","0","0"
"4","二連擊","娜迪亞攻擊最近的敵人兩次，分別造成$s1點和$s2點物理傷害。","3","0","0","1","333546"
"5","側翼掃擊","德瑞文以翅膀進行掃擊，對所有敵人造成$s1點物理傷害。","1","0","0","1","2103875"
"6","血液爆破","希奧塔散發出一陣陣暗影能量，對遠處的所有敵人造成$s1點暗影傷害。","2","0","0","32","136118"
"7","骷髏重擊","對最近的敵人造成$s1點物理傷害。","2","1","0","32","3386321"
"8","獵鷹打擊","艾莉像老鷹一樣迅速發動攻擊，對最近的敵人造成傷害。","1","0","0","8","132188"
"9","治療嚎叫","使所有盟友恢復相當於生命力上限$s1%的生命力。","4","0","0","64","1033494"
"10","星枝碎擊","潰擊最近的敵人，造成相當於其生命力上限$s1%的傷害。每回合恢復相當於生命力上限$s3%的生命力，並對所有敵人造成相當於生命力上限$s2%的冰霜傷害。","3","3","0","16","514019"
"11","自動攻擊","對最近的敵人造成攻擊傷害。","0","0","0","1","1064261"
"12","骨骼重建","為所有盟友治療$s1點生命力。","1","1","0","32","136230"
"13","溫柔之撫","","0","0","0","8","132125"
"14","靈魂的輕撫","安潔莉使所有盟友恢復$s1點生命力。","3","0","0","32","132993"
"15","自動攻擊","對遠方一個敵人造成傷害。","0","0","0","1","135490"
"16","靈魂粉碎","席菈剝離位置最遠的敵人的記憶，造成$s1點暗影傷害。","1","0","0","32","2065625"
"17","墓土特餐","達格將一鏟子的墓土丟向所有敵人，造成$s1點冰霜傷害，並使自己恢復$s2點生命力。","0","0","0","16","134436"
"18","怒火之翼","奈里斯攻擊近戰範圍內的所有敵人三次，每次攻擊造成$s1點暗影傷害。","4","0","0","32","2103919"
"19","灼熱撕咬","用噴出烈焰的大口撕咬最近的敵人，造成$s1點火焰傷害。","4","0","0","4","236167"
