Id,AreaName,OrderIndex,PlayerConditionId,AreaId
"1","佚光之室","0","68604","9994"
"2","工匠臺地","1","63282","8670"
"3","落錨酒吧","0","63448","9401"
"4","爛醉如坦","0","63426","9617"
"5","沉游酒海","0","5703","9617"
"6","賀曼的隱匿酒館","0","63291","8502"
"7","海砂酒吧","0","63292","8733"
"8","哀嚎陷坑","0","5703","9698"
"9","托加的旅店","0","63306","8502"
"10","鯨魚酒杯","0","63374","8567"
"11","苦工藏身處","0","65214","5484"
"12","葛隆的洞穴","0","65990","9420"
"13","葛隆的洞穴","0","65990","8731"
"15","藏身所","0","67602","9979"
"16","藏身所","0","67602","8717"
"17","安杜因之怒","0","67138","10454"
"18","黎明水手號","0","67139","10454"
"19","蒂芬之歌","0","67140","10454"
"20","獅心號","0","67141","10454"
"21","獅心號","0","67141","10455"
"22","蒂芬之歌","0","67140","10455"
"23","黎明水手號","0","67139","10455"
"24","安杜因之怒","0","67138","10455"
"25","羅亞之光","0","68603","9994"
