Id,AreaName,OrderIndex,PlayerConditionId,AreaId
"1","佚光之室","0","68604","9994"
"2","工匠臺地","1","63282","8670"
"3","落錨酒吧","0","63448","9401"
"4","爛醉如坦","0","63426","9617"
"5","沉游酒海","0","5703","9617"
"6","賀曼的隱匿酒館","0","63291","8502"
"7","海砂酒吧","0","63292","8733"
"8","哀嚎陷坑","0","5703","9698"
"9","托加的旅店","0","63306","8502"
"10","鯨魚酒杯","0","63374","8567"
"11","苦工藏身處","0","65214","5484"
"12","葛隆的洞穴","0","65990","9420"
"13","葛隆的洞穴","0","65990","8731"
"15","藏身所","0","67602","9979"
"16","藏身所","0","67602","8717"
"17","安杜因之怒","0","67138","10454"
"18","黎明水手號","0","67139","10454"
"19","蒂芬之歌","0","67140","10454"
"20","獅心號","0","67141","10454"
"21","獅心號","0","67141","10455"
"22","蒂芬之歌","0","67140","10455"
"23","黎明水手號","0","67139","10455"
"24","安杜因之怒","0","67138","10455"
"25","羅亞之光","0","68603","9994"
"27","瘋狂公爵的迎客廳","0","73061","10985"
"28","柯斯塔的藏身處","0","73506","10985"
"29","寵臣莊園","1","76787","10985"
"30","統御者之座","0","78035","11466"
"31","猜疑要塞","0","0","13311"
"42","澤瑞奎斯","0","85380","11462"
"43","縫合作坊","0","86352","13473"
"44","佐拉慕斯","0","86354","13473"
"45","奧寇布恩刑牢","0","87430","13400"
"46","折磨刑牢：珍娜","0","87491","13404"
"47","折磨刑牢：索爾","0","87550","13413"
"48","舞之環","0","88819","11510"
"49","舞之環","0","88819","12244"
"50","舞之環","0","88819","12243"
"51","放逐者骨窖","0","89786","13575"
"52","奉獻神殿","0","91076","11379"
"53","裂隙","0","91308","13196"
"54","裂隙","0","91308","11524"
"55","裂隙","0","91308","11528"
"56","裂隙","0","91308","11530"
"57","裂隙","0","91308","11400"
"58","裂隙","0","91308","13217"
"59","裂隙","0","91308","13216"
"60","裂隙","0","91308","13560"
"61","裂隙","0","91308","11526"
"62","裂隙","0","91308","13215"
"63","傲慢之谷","0","91308","13432"
"64","裂隙","0","91308","11525"
"65","裂隙","0","91308","13222"
"66","裂隙","0","91308","11529"
"67","裂隙","0","91308","13223"
"68","裂隙","0","91308","13437"
"69","裂隙","0","91308","13218"
"70","裂隙","0","91308","13491"
"71","裂隙","0","91308","13492"
"72","裂隙","0","91308","11527"
"73","裂隙","0","91308","13219"
"74","裂隙","0","91308","13221"
"75","裂隙","0","91308","13570"
"76","裂隙","0","91308","13624"
"77","裂隙","0","91308","13625"
"78","裂隙","0","91308","13626"
"79","裂隙","0","91308","13627"
"80","裂隙","0","91308","13628"
"81","裂隙","0","91308","13629"
"82","裂隙","0","91308","13630"
"83","裂隙","0","91308","13631"
"84","裂隙","0","91308","13666"
"85","裂隙","0","91308","13673"
"86","裂隙","0","91308","13677"
"87","裂隙","0","91308","13538"
"88","先王之懺","0","92820","13561"
"89","眼之瞰臺","3","92897","13561"
