Id,ClientPrefix,ClientFileString,Name,NameFemale,NameLowercase,NameFemaleLowercase,Flags,MaleDisplayId,FemaleDisplayId,HighResMaleDisplayId,HighResFemaleDisplayId,CreateScreenFileDataId,SelectScreenFileDataId,MaleCustomizeOffset0,MaleCustomizeOffset1,MaleCustomizeOffset2,FemaleCustomizeOffset0,FemaleCustomizeOffset1,FemaleCustomizeOffset2,LowResScreenFileDataId,AlteredFormStartVisualKitId0,AlteredFormStartVisualKitId1,AlteredFormStartVisualKitId2,AlteredFormFinishVisualKitId0,AlteredFormFinishVisualKitId1,AlteredFormFinishVisualKitId2,HeritageArmorAchievementId,StartingLevel,UiDisplayOrder,FemaleSkeletonFileDataId,MaleSkeletonFileDataId,HelmVisFallbackRaceId,FactionId,CinematicSequenceId,ResSicknessSpellId,SplashSoundId,BaseLanguage,CreatureType,Alliance,RaceRelated,UnalteredVisualRaceId,CharComponentTextureLayoutId,CharComponentTexLayoutHiResId,DefaultClassId,NeutralRaceId,MaleModelFallbackRaceId,MaleModelFallbackSex,FemaleModelFallbackRaceId,FemaleModelFallbackSex,MaleTextureFallbackRaceId,MaleTextureFallbackSex,FemaleTextureFallbackRaceId,FemaleTextureFallbackSex
"6499","Hu","Human","人类","人类","人类","人类","6484","6491","6476","6490","6479","6464","6471","9.046783E-42","1.401298E-45","8.817839E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131948","651555","0","0","0","47268","47268","47268","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"6428","Or","Orc","兽人","兽人","兽人","兽人","6308","6420","6300","6419","6408","6288","6400","8.800154E-42","2.802597E-45","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132003","651558","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"6374","Dw","Dwarf","矮人","矮人","矮人","矮人","6132","6366","6124","6365","6354","6112","6346","8.553526E-42","4.203895E-45","8.816404E-39","9.809089E-45","2.102929E-41","1.527415E-42","623712","131940","651555","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"6330","Ni","NightElf","暗夜精灵","暗夜精灵","暗夜精灵","暗夜精灵","5956","6322","5948","6324","6429","5936","6421","8.306897E-42","5.605194E-45","8.816393E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131993","651555","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"6298","Sc","Scourge","亡灵","亡灵","亡灵","亡灵","5780","6290","5772","6295","6271","5760","6263","8.060269E-42","7.006492E-45","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132035","651558","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"6270","Ta","Tauren","牛头人","牛头人","牛头人","牛头人","5604","6262","5596","6264","6240","5584","6232","7.81364E-42","8.407791E-45","8.816395E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","132046","651558","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"6192","Gn","Gnome","侏儒","侏儒","侏儒","侏儒","5428","6184","5420","6183","6172","5408","6164","7.567012E-42","9.809089E-45","8.816404E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","430171","651555","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115"
"6115","Tr","Troll","巨魔","巨魔","巨魔","巨魔","5252","6107","5244","6112","6088","5232","6080","7.320383E-42","1.121039E-44","8.816407E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","429097","651558","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116"
"6072","Go","Goblin","地精","地精","地精","地精","5076","6064","5068","6069","6045","5056","6037","7.073755E-42","1.261169E-44","8.816572E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","319097","651558","0","0","0","0","0","0","0","1","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100"
"6052","Be","BloodElf","血精灵","血精灵","血精灵","血精灵","4900","6044","4892","6046","5373","4880","5365","6.827126E-42","1.401298E-44","8.816404E-39","1.401298E-45","2.102929E-41","1.535823E-42","623714","131921","651558","0","0","0","0","0","0","0","1","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74"
"6021","Dr","Draenei","德莱尼","德莱尼","德莱尼","德莱尼","4724","6013","4716","6015","6001","4704","5993","6.580498E-42","1.541428E-44","8.816407E-39","9.809089E-45","2.102929E-41","1.535823E-42","623712","131934","651555","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93"
"4552","Fo","FelOrc","邪兽人","邪兽人","邪兽人","邪兽人","4548","4544","4540","4536","4532","4528","4524","6.333869E-42","1.681558E-44","3.67349E-40","9.809089E-45","2.102929E-41","1.535823E-42","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4376","Na","Naga_","纳迦","纳迦","纳迦","纳迦","4372","4368","4364","4360","4356","4352","4348","6.087241E-42","1.821688E-44","1.401298E-45","9.809089E-45","2.102929E-41","1.535823E-42","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4200","Br","Broken","破碎者","破碎者","破碎者","破碎者","4196","4192","4188","4184","4180","4176","4172","5.840612E-42","1.961818E-44","7.006492E-45","9.809089E-45","2.102929E-41","1.535823E-42","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
