Id,Description,FactionId,TextureFileId
"1212","农夫老方视你为%s。老方喜欢泽地百合和香烤野雉。","1208","0"
"1196","吱吱视你为%s。吱吱喜欢蓝色羽毛和谷地小炒。","1192","0"
"1180","艾拉视你为%s。艾拉喜欢玉猫和虾饺。","1176","0"
"1164","玉儿·采苇视你为%s。玉儿喜欢玉猫和鸳鸯鱼拼盘。","1160","0"
"1148","吉娜·泥爪视你为%s。吉娜喜欢泽地百合和迷雾汤。","1144","0"
"1132","郝瀚·泥爪视你为%s。郝瀚喜欢红宝石碎片和碳烤虎肉排。","1128","0"
"1116","醉鬼贾古视你为%s。贾古喜欢可爱的苹果和煎炸胡萝卜。","1112","0"
"1100","老农山掌视你为%s。山掌喜欢蓝色羽毛和炖龟肉。","1096","0"
"1084","阿烁视你为%s。阿烁喜欢可爱的苹果和锦绣鱼。","1080","0"
"1068","迪娜·泥爪视你为%s。迪娜喜欢红宝石碎片和焰灵鲑鱼。","1064","0"
"1052","诺米是一个非常聪明的%s厨师。你每教他一课，他都会变得更加熟练！","1048","0"
"1036","纳特视你为%s。纳特喜欢喝酒。如果你多送他一些稀有鱼类，他或许会分你几口！","1032","0"
"1020","你目前在搏击竞技场中的等级为%s。","1016","0"
"1004","你目前在比兹莫搏击俱乐部中的等级为%s。","1000","0"
"988","你%s暗矛起义军。","984","0"
"972","托莫克现在是你的%s。","968","0"
"956","防御者艾萝娜现在是你的%s。","952","0"
"940","艾达·晨光现在是你的%s。","936","0"
"924","德尔瓦·铁拳现在是你的%s。","920","0"
"908","薇薇安现在是你的%s。","904","0"
"892","鸦爪祭司伊沙尔现在是你的%s。","888","0"
"876","利奥拉现在是你的%s。","872","0"
"860","%s","856","0"
"844","%s","840","0"
"828","首席奥术师塔莉萨处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。","824","0"
"812","希尔格林处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r。苏拉玛有着许多自然资源，但没有哪一种能像暗夜井那么强大。","808","0"
"796","首席传送师欧库勒斯处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。","792","0"
"780","占位符","776","0"
"764","奥术师瓦尔托伊处于%s状态。

这个夜之子极度渴望|cFF66BBFF远古魔力|r，这种资源可以在苏拉玛各地找到。","760","0"
"748","咒法师马戈斯把你视作%s。他并不热衷于魔法。他真正的爱好是钓鱼！","744","0"
"732","欧莉萨拉和安吉莉克把你视作%s。她们希望尽力为有需要的人提供必要的医疗补给品。","728","0"
"716","Arne Test - is currently your %s.","712","0"
"700","“活水”伊丽西娅视你为%s。在阿苏纳和她钓鱼。","696","0"
"684","阿库勒视你为%s。在至高岭和他钓鱼。","680","0"
"668","英帕斯视你为%s。在破碎海滩和他钓鱼。","664","0"
"652","守护者蕾娜视你为%s。在瓦尔莎拉和她钓鱼。","648","0"
"636","莎乐丝视你为%s。在苏拉玛和她钓鱼。","632","0"
"620","科尔宾视你为%s。在风暴峡湾和他钓鱼。","616","0"
"604","克罗米视你为%s。","600","0"
"588","%s","584","0"
"572","%s","568","0"
"556","翼手龙长成了%s。","552","0"
"540","恐角龙已经长成了%s。","536","0"
"3076","猎人阿卡纳处于%s。","3120","0"
"3162","先知奥利处于%s。","3203","0"
"3248","剑客伊诺瓦里处于%s。","3295","0"
"3342","奈莉·锐鳍处于%s。","3385","0"
"3428","鲍恩·分鳃处于%s。","3471","0"
"3514","维姆·盐心处于%s。","3557","0"
"428","一只%s的蜜背收割者。","424","0"
"412","一只%s的蜜背工蜂。","408","0"
"396","一只%s的蜜背巢母。","392","0"
"380","%s","376","0"
"364","%s","360","0"
"348","亚基宝宝已经成长为%s。","344","0"
"3630","威·娜莉的目光透露出%s。","3694","0"
"316","瓦丝琪女男爵视你为%s。","312","0"
"300","月莓女勋爵视你为%s。","296","0"
"284","米卡尼科斯视你为%s。","280","0"
"268","女伯爵视你为%s。","264","0"
"252","亚历山德罗斯·莫格莱尼视你为%s。","248","0"
"236","狩猎队长柯莱恩视你为%s。","232","0"
"220","文官阿得赖斯提斯视你为%s。","216","0"
"204","伦德尔和棍脸视你为%s。","200","0"
"188","丘法视你为%s。","184","0"
"172","地穴看守者卡希尔视你为%s。","168","0"
"156","宗主艾莉奥瑟视你为%s。","152","0"
"140","沃尔大师视你为%s。","136","0"
"124","克雷雅和裴拉戈斯视你为%s。","120","0"
"108","西卡视你为%s。","104","0"
"92","石首视你为%s。","88","0"
"76","魔药设计师马里莱斯视你为%s。","72","0"
"60","你在缝合大师中的声望是%s。","56","0"
"44","你在玛拉斯缪斯处的声望是%s。","40","0"
"28","你在魅夜王庭中的声望是%s。","24","0"
"12","%s研究","8","0"
