Id,Description,InventoryTypeMask,ItemNameDescriptionId
"1","Mantle of Dusk and Dawn","8","13697"
"2","Three-pronged Defender (DNT)","4","13588"
"15","Chilly Robe (DNT)","1048576","13586"
"17","Hand of Fearful Symmetry","1024","13642"
"22","Strain-Soaked Breastplate","32","13662"
"23","Cloak of the Deadly Coil","65536","13663"
"24","Monstrosity Drapes","65536","13665"
"26","Vampiric Chestplate","32","13668"
"27","Handguards of the Crimson Rune","1024","13669"
"28","Chain of Absolute Zero","4","13673"
"29","Belt of the Unending Grasp","64","13675"
"30","Wristwraps of the Molten Sky","512","13679"
"31","Cowl of Deep-Freeze","2","13682"
"32","Band of Disciplinary Command","2048","13684"
"33","Sash of Expanded Potential","64","13685"
"34","Laced Wraps of Arcane Harmony","1024","13691"
"35","Loop of Time","2048","13692"
"37","Uther's Sanctuary","36","13695"
"38","Mad Paragon's Pursuit","256","13694"
"40","Seal of Righteous Fury","2048","13704"
"42","Relentless Inquisitor's Mantle","65536","13709"
"43","Sabatons of Reprisal","256","13713"
"44","Thunderlord Stompers","256","13716"
"45","Gauntlets of the Unhinged","1024","13720"
"47","Battlelord's Charm","4","13722"
"48","Shoulderplates of Seismic Reverberation","8","13723"
"49","Wristwraps of the Ancestors","512","13724"
"50","Deeptremor Girdle","64","13725"
"51","Deep Elemental Shoulderguards","8","13726"
"52","Skybreaker's Fiery Demise","1048608","13728"
"53","Legguards of Elemental Equilibrium","128","13729"
"54","Echoes of the Great Sundering","8","13730"
"55","Windspeaker's Lava Resurgence","256","13731"
"56","Jonat's Naturally Focused Legguards","128","13736"
"57","Cloak of the Tidal Spiritwalker","65536","13737"
"58","Handguards of the Primal Tides","1024","13738"
"59","Cloak of Earthen Harmony","65536","13739"
"60","Painbringer Helm","2","13742"
"61","Wristwraps of the Wild Call","512","13743"
"62","Hemet's Belt of Trapping","64","13744"
"63","Soulforge Ember Epaulets","8","13745"
"64","Amulet of Craven Stratagem","4","13746"
"66","Engraved Loop of Dire Command","2048","13747"
"67","Flamewaker's Cobraskin Leggings","128","13748"
"68","Spaulders of the Eredun War","8","13749"
"69","Cloak of the Master Rylakstalker","65536","13750"
"70","Armguards of Surging Shots","512","13752"
"71","Shoulderpads of the Serpentstalker","8","13753"
"72","Wristwraps of the Unblinking Vigil","512","13754"
"73","Confounded Rylakstalker's Legguards","128","13756"
"74","Wilfred's Wristwraps of Superior Summoning","512","13759"
"77","Pillars of the Dark Portal","4","13762"
"78","Azj'Aqir's Writing Robe","1048608","13763"
"79","Sacrolash's Dark Strikers","128","13764"
"80","Embroidered Boots of Wrath","256","13766"
"81","Horned Shoulderpads of Nightmares","8","13769"
"82","Cinderflame Legguards of the Azj'Aqir","128","13771"
"84","Legguards of Reanimation","128","13666"
"87","Half-Giant Mask","2","13776"
"90","Doomlord's Hooves","256","13779"
"99","Clawed Boots of Endereth","256","13760"
"100","Elegant Cincture of the Ymirjar","64","13774"
"102","Sigil of the Master Assassin","2560","13790"
"105","Shadowdust Jerkin","32","13793"
"106","Toxic Bladed Boots","256","13791"
"110","Duskwalker's Patch","32","13797"
"111","Greenskin Wickers","1024","13798"
"112","Bandit's Charm","4","13799"
"114","Celerity Loop","2048","13789"
"115","Concealed Blunderbuss","1024","13800"
"116","Final Curtain","65536","13801"
"117","Akaari's Soul Fragment","1024","13802"
"119","Deathly Shadows","128","13804"
"126","Vision of Demonic Synergy","2","13761"
"127","Footsteps of the Zoldyck Family","256","13796"
"128","Bloodstanding Doomblade Epaulettes","8","13795"
"130","Blood-Fanged Spaulders","8","13792"
"131","Rotten Appetite","65536","13803"
"151","Erratic Fel Footing","256","13781"
"158","Fel Enflamed Bandolier","32","13782"
"159","Shroud of the Darkest Hour","32","13778"
"161","Darkglare Medallion","4","13777"
"163","Cycle of Chaos","64","13780"
"165","Everburning Chestguard","32","13810"
"167","Doomlord Hooves","256","13809"
"168","Unceasing Loop of Fel Flame","2048","13785"
"169","Darkness Flame Cowl","2","13783"
"170","Reckless Grasp of Fiery Soul","1024","13786"
"171","Defiler's Lost Legguards","128","13784"
"172","Sight of Dusk and Dawn","2","13697"
